itemnr,scale,subscale,sub-101,sub-102,sub-103,sub-104,sub-105,sub-106,sub-107,sub-108,sub-109,sub-110,sub-111,sub-112,sub-113,sub-114,sub-115,sub-116,sub-117,sub-118,sub-119,sub-120,sub-121,sub-122,sub-123,sub-124,sub-125,sub-126,sub-127,sub-128,sub-129
1,IDAQ-NA,nature,5,0,3,0,10,9,6,0,0,5,0,9,0,10,7,0,4,8,4,8,5,9,6,7,7,3,0,5,3
2,IDAQ-NA,technology,0,8,4,8,5,8,7,7,2,6,6,3,10,10,9,10,6,7,10,9,7,7,8,6,6,3,0,0,9
3,IDAQ,technology,0,9,1,7,0,1,0,0,1,8,1,7,4,0,0,10,4,7,2,8,0,9,1,4,4,1,0,0,1
4,IDAQ,animal,0,5,10,3,10,5,10,6,6,5,2,8,2,10,8,9,7,8,8,3,0,3,3,4,3,6,8,6,9
5,IDAQ-NA,nature,8,4,9,0,10,5,3,0,2,9,5,6,3,5,8,5,2,6,5,6,5,9,7,9,6,1,5,8,6
6,IDAQ-NA,animal,10,7,10,8,10,5,10,7,7,8,6,7,7,10,6,10,6,8,8,10,10,7,10,9,10,6,8,10,6
7,IDAQ,nature,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,5,2,1,0,0,0,0,0,7,0,0,0,0,2
8,IDAQ-NA,animal,5,6,0,5,10,3,5,6,3,5,1,3,0,5,4,0,9,3,2,8,5,5,0,6,7,4,5,4,5
9,IDAQ,technology,0,9,0,0,0,0,0,0,7,7,0,1,0,0,0,0,6,1,0,0,0,7,0,4,0,0,0,0,0
10,IDAQ-NA,technology,5,2,6,5,10,1,0,0,2,10,0,3,0,0,3,9,2,4,5,7,5,7,3,7,6,0,0,7,4
11,IDAQ,technology,7,5,1,1,0,1,0,0,2,8,1,2,0,5,9,5,4,2,5,6,0,6,0,8,6,2,0,6,2
12,IDAQ,animal,3,7,10,6,3,10,3,4,4,8,0,5,2,5,0,5,6,3,7,8,10,8,10,9,6,5,10,7,6
13,IDAQ,technology,0,0,0,0,0,0,0,0,0,7,0,2,0,0,1,5,1,1,0,0,0,0,0,7,0,0,0,0,3
14,IDAQ,nature,0,0,1,0,0,5,0,0,0,8,0,1,0,0,0,10,1,1,2,0,0,0,0,4,0,0,0,2,5
15,IDAQ-NA,technology,0,0,0,0,0,0,0,0,0,7,0,9,0,10,8,3,10,8,2,3,0,0,0,8,4,0,0,0,7
16,IDAQ-NA,nature,10,7,10,5,10,9,8,10,7,8,3,7,6,10,0,10,7,8,8,9,10,9,10,5,9,4,6,10,9
17,IDAQ,technology,0,2,0,4,0,3,0,0,3,6,1,4,0,0,6,0,4,3,0,7,0,0,3,6,2,0,0,1,1
18,IDAQ-NA,nature,10,3,7,3,5,10,6,6,3,7,0,2,0,0,7,10,6,6,10,8,10,10,0,4,3,4,0,10,6
19,IDAQ-NA,technology,10,4,7,8,10,3,8,10,7,8,7,5,6,10,7,10,7,7,8,9,10,9,10,7,9,8,10,7,7
20,IDAQ,animal,10,6,10,8,10,10,10,8,6,9,2,6,5,8,1,10,6,8,7,8,10,9,8,6,8,6,10,10,8
21,IDAQ,nature,0,0,1,1,0,5,2,0,1,6,0,3,0,0,4,0,4,3,0,7,0,9,5,9,1,2,0,0,1
22,IDAQ,animal,10,1,10,2,5,5,10,4,3,5,2,4,1,10,1,10,2,9,6,9,5,8,3,5,2,5,10,8,3
23,IDAQ,nature,5,2,1,1,5,9,0,0,1,5,0,2,0,0,8,5,2,2,3,7,0,8,0,2,1,2,0,8,6
24,IDAQ-NA,technology,0,7,6,7,5,8,7,9,2,8,8,6,6,3,7,9,6,6,8,9,8,8,2,7,3,5,6,,7
25,IDAQ-NA,animal,10,5,9,7,10,3,10,9,8,4,6,5,4,0,1,10,6,9,7,10,10,8,10,9,8,7,10,4,6
26,IDAQ,nature,0,0,0,0,0,5,0,0,1,5,0,1,0,0,7,5,1,1,0,8,0,8,0,1,0,0,0,0,3
27,IDAQ-NA,nature,0,2,9,2,10,8,5,10,9,5,6,7,3,10,6,10,5,3,4,8,5,5,5,3,2,3,8,7,9
28,IDAQ-NA,animal,5,2,8,2,10,9,10,7,9,5,6,8,4,10,7,10,8,7,6,8,2,9,5,4,3,5,8,4,8
29,IDAQ,animal,10,2,10,6,5,10,10,8,8,7,1,7,2,10,7,10,4,7,5,6,10,7,3,4,7,7,10,7,6
30,IDAQ-NA,animal,10,0,10,7,10,6,3,0,8,5,3,4,4,10,,10,6,8,10,10,8,8,10,9,9,2,8,8,7
