itemnr,scale,subscale,sub-201,sub-202,sub-203,sub-204,sub-205,sub-206,sub-207,sub-208,sub-209,sub-210,sub-211,sub-212,sub-213,sub-214,sub-215,sub-216,sub-217,sub-218,sub-219,sub-220,sub-221,sub-222,sub-223,sub-224,sub-225,sub-226,sub-227,sub-228,sub-229,sub-230,sub-231,sub-232,sub-233,sub-234,sub-235
1,IDAQ-NA,nature,2,3,6,0,6,1,6,1,8,7,8,5,9,6,1,7,7,7,1,1,1,1,5,1,1,9,1,7,7,5,2,6,7,5,7
2,IDAQ-NA,technology,9,7,10,6,8,5,8,7,4,8,2,9,10,3,7,4,7,5,10,7,6,10,7,10,5,6,2,7,8,8,6,6,6,5,8
3,IDAQ,technology,4,6,0,3,7,1,4,3,1,2,1,4,6,2,1,0,0,0,2,2,2,1,0,3,2,3,1,3,1,5,3,4,2,4,4
4,IDAQ,animal,8,8,8,3,8,1,8,5,3,9,8,7,8,5,2,10,7,2,6,5,8,9,8,7,5,8,7,3,9,1,6,10,3,5,8
5,IDAQ-NA,nature,3,8,7,7,9,1,6,5,5,5,,8,7,7,2,4,9,5,5,2,5,1,5,2,5,5,5,5,7,5,10,5,6,7,8
6,IDAQ-NA,animal,7,9,8,6,10,8,9,8,7,9,10,9,10,8,7,7,5,9,9,9,8,10,7,10,7,5,6,9,5,10,4,6,8,6,9
7,IDAQ,nature,0,4,1,1,6,1,1,2,1,2,1,2,2,2,1,6,0,0,1,1,3,1,0,2,1,0,0,1,0,1,2,3,1,5,0
8,IDAQ-NA,animal,5,5,4,6,4,4,3,3,6,4,2,4,3,5,3,3,4,5,2,3,1,4,7,6,1,6,1,4,3,5,2,5,5,7,5
9,IDAQ,technology,0,0,0,1,3,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,5,2
10,IDAQ-NA,technology,4,4,8,4,8,1,3,5,6,2,4,3,6,4,7,0,0,2,5,1,2,7,5,4,5,4,6,2,3,1,6,5,3,5,4
11,IDAQ,technology,2,3,3,2,2,1,3,1,1,,2,5,6,2,1,0,0,1,1,7,2,1,0,2,5,0,0,4,0,1,1,6,2,5,3
12,IDAQ,animal,8,9,8,8,8,1,5,5,7,2,7,8,8,7,3,10,10,3,8,4,8,8,7,8,9,6,10,2,10,3,8,10,3,5,8
13,IDAQ,technology,0,1,0,1,3,1,1,1,1,6,1,1,1,1,1,0,0,0,1,2,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0
14,IDAQ,nature,0,3,1,4,9,1,3,5,1,,1,5,2,5,1,0,10,1,1,2,5,1,0,1,1,3,0,1,1,1,3,2,1,4,3
15,IDAQ-NA,technology,9,1,0,2,1,1,1,1,6,3,10,10,2,2,1,0,0,0,1,1,8,1,0,2,1,3,0,2,0,10,1,0,2,5,3
16,IDAQ-NA,nature,8,7,10,8,10,10,8,8,10,8,10,8,10,9,10,8,10,10,9,9,10,10,7,9,10,7,8,9,9,10,10,8,8,8,8
17,IDAQ,technology,1,2,2,3,2,1,7,2,1,3,2,4,3,1,2,0,0,0,2,6,2,1,0,3,1,0,1,4,0,1,3,6,2,4,1
18,IDAQ-NA,nature,2,7,10,4,10,1,7,4,3,9,9,6,10,5,2,9,9,2,9,8,10,10,6,4,9,6,7,5,4,10,10,8,6,6,8
19,IDAQ-NA,technology,9,8,10,9,7,10,8,8,10,,8,9,8,7,10,10,8,6,8,9,6,10,9,10,10,8,9,9,9,10,10,6,7,6,8
20,IDAQ,animal,8,9,10,9,10,3,9,5,6,8,6,10,10,8,7,8,10,7,7,10,8,8,7,9,10,10,9,7,9,10,8,10,8,6,9
21,IDAQ,nature,1,2,1,3,9,1,1,7,1,7,3,6,8,2,1,5,3,1,1,3,6,1,0,1,1,7,1,1,0,7,1,6,2,4,4
22,IDAQ,animal,5,8,8,6,8,1,4,5,2,8,4,8,8,6,3,10,7,1,5,8,9,7,7,6,10,10,5,6,7,5,3,8,3,3,9
23,IDAQ,nature,2,5,7,3,8,1,3,5,1,4,1,5,7,2,1,5,3,0,3,2,5,1,1,3,3,4,4,2,1,5,2,7,2,4,5
24,IDAQ-NA,technology,3,8,6,4,3,6,9,7,6,8,4,5,4,6,7,7,6,5,9,10,6,8,7,7,6,9,7,7,6,8,4,6,7,6,4
25,IDAQ-NA,animal,9,7,9,8,8,6,9,6,7,,5,10,8,7,4,10,6,4,9,7,10,5,2,10,10,10,8,8,10,10,8,8,5,4,10
26,IDAQ,nature,0,2,0,2,2,1,2,5,1,,1,6,3,1,1,2,0,0,1,1,4,1,0,1,1,0,0,1,0,1,1,5,1,4,7
27,IDAQ-NA,nature,8,9,10,5,7,7,7,6,5,2,4,7,8,8,5,10,10,8,7,9,8,9,8,7,8,7,8,8,5,5,9,5,9,4,6
28,IDAQ-NA,animal,5,7,7,5,8,7,6,5,6,,3,8,8,7,5,10,10,7,7,8,9,8,8,8,2,4,5,7,5,5,6,5,7,3,6
29,IDAQ,animal,7,8,7,6,10,2,7,5,5,4,10,10,9,6,10,10,10,6,6,7,9,8,10,6,10,10,7,9,10,7,10,9,7,4,10
30,IDAQ-NA,animal,6,8,9,7,10,6,8,5,7,3,7,6,9,9,10,10,3,10,5,2,10,8,7,3,5,7,4,2,7,10,10,10,6,3,8
