itemnr,scale,subscale,sub-401,sub-402,sub-403,sub-404,sub-405,sub-406,sub-407,sub-408,sub-409,sub-410,sub-411,sub-412,sub-413,sub-414,sub-415,sub-416,sub-417,sub-418,sub-419,sub-420,sub-421,sub-422
1,IDAQ-NA,nature,4,4,6,2,3,9,3,2,8,8,6,4,5,5,4,7,2,7,7,7,5,3
2,IDAQ-NA,technology,7,8,7,9,9,8,7,3,8,7,3,9,5,6,8,3,7,8,6,9,8,8
3,IDAQ,technology,9,0,2,2,0,0,9,2,10,8,0,3,0,6,10,1,3,2,5,8,1,4
4,IDAQ,animal,3,10,10,6,5,3,9,5,3,7,7,4,10,5,6,10,9,8,4,3,8,8
5,IDAQ-NA,nature,2,8,5,3,6,4,5,6,3,4,4,5,7,5,3,10,7,5,6,6,4,7
6,IDAQ-NA,animal,7,10,10,7,10,7,6,8,10,8,3,9,6,6,8,10,8,4,8,9,10,10
7,IDAQ,nature,1,0,0,2,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,4,10,2
8,IDAQ-NA,animal,7,5,3,4,5,7,5,3,5,5,3,3,5,5,3,8,5,2,5,3,5,5
9,IDAQ,technology,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8
10,IDAQ-NA,technology,1,6,0,6,7,6,3,1,2,0,2,6,0,5,2,3,6,3,5,1,0,10
11,IDAQ,technology,1,3,2,2,0,0,5,0,2,0,3,2,0,4,,0,5,0,2,1,1,7
12,IDAQ,animal,4,7,7,7,3,6,3,7,5,5,7,7,7,5,7,8,8,2,2,2,7,6
13,IDAQ,technology,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
14,IDAQ,nature,10,0,0,2,7,0,2,1,1,0,0,0,0,1,0,0,3,0,1,0,1,0
15,IDAQ-NA,technology,1,0,5,0,0,5,1,5,0,0,0,3,5,4,3,2,0,1,0,4,0,5
16,IDAQ-NA,nature,3,6,10,9,7,10,6,10,6,10,10,10,10,6,8,8,9,6,9,9,9,10
17,IDAQ,technology,1,3,0,3,0,0,3,2,1,5,0,2,0,2,3,0,2,1,2,2,2,7
18,IDAQ-NA,nature,10,0,10,8,6,7,4,7,10,10,1,7,4,6,6,8,9,3,7,6,9,6
19,IDAQ-NA,technology,8,10,7,8,9,9,9,5,10,7,8,8,7,6,9,8,8,9,8,10,10,8
20,IDAQ,animal,7,8,10,7,8,8,6,10,10,7,8,7,7,5,8,9,8,9,6,3,6,8
21,IDAQ,nature,4,0,10,1,0,0,1,5,3,0,0,0,0,5,7,0,2,2,1,1,0,0
22,IDAQ,animal,6,7,10,4,5,3,8,6,3,6,4,3,7,5,10,6,9,9,2,0,2,7
23,IDAQ,nature,2,0,0,5,4,2,4,3,3,6,0,1,0,5,6,0,6,1,4,0,1,3
24,IDAQ-NA,technology,1,5,10,8,8,6,6,3,3,6,7,6,3,7,,8,7,7,7,5,5,10
25,IDAQ-NA,animal,1,10,7,9,9,7,9,7,10,4,7,5,10,7,8,3,7,5,7,7,4,6
26,IDAQ,nature,1,0,0,1,7,0,1,0,0,0,0,0,0,5,3,0,1,0,0,0,0,0
27,IDAQ-NA,nature,4,5,10,7,5,6,5,7,5,8,7,6,8,4,1,8,7,5,7,7,6,6
28,IDAQ-NA,animal,9,9,10,7,9,7,3,8,5,6,6,9,10,6,6,7,7,8,8,6,7,3
29,IDAQ,animal,8,10,6,6,7,6,8,10,4,4,8,7,7,5,9,9,9,10,3,2,4,8
30,IDAQ-NA,animal,10,9,5,9,10,8,7,8,2,10,9,7,7,5,7,10,9,3,9,4,6,8
